id,b_1,b_2,m,v_1,v_2,t
     0.000,     9.277,     4.619,    10.000,     0.000,     0.000,     0.000
     1.000,     6.244,    12.471,    10.000,     0.000,     0.000,     0.000
     2.000,    11.770,     0.506,    10.000,     0.000,     0.000,     0.000
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.010
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.010
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.010
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.020
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.020
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.020
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.030
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.030
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.030
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.040
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.040
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.040
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.050
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.050
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.050
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.060
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.060
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.060
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.070
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.070
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.070
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.080
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.080
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.080
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.090
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.090
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.090
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.100
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.100
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.100
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.110
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.110
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.110
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.120
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.120
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.120
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.130
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.130
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.130
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.140
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.140
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.140
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.150
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.150
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.150
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.160
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.160
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.160
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.170
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.170
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.170
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.180
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.180
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.180
     0.000,     9.277,     4.619,    10.000,     0.000,    -0.000,     0.190
     1.000,     6.244,    12.471,    10.000,     0.000,    -0.000,     0.190
     2.000,    11.770,     0.506,    10.000,    -0.000,     0.000,     0.190
