id,b_1,b_2,m,v_1,v_2,t
     0.000,     4.342,     2.794,    10.000,     0.000,     0.000,     0.000
     1.000,     5.197,     5.111,    10.000,     0.000,     0.000,     0.000
     2.000,     7.024,     7.625,    10.000,     0.000,     0.000,     0.000
     0.000,     4.342,     2.794,    10.000,     0.000,     0.001,     0.010
     1.000,     5.197,     5.111,    10.000,    -0.000,    -0.001,     0.010
     2.000,     7.024,     7.625,    10.000,    -0.000,    -0.000,     0.010
     0.000,     4.342,     2.794,    10.000,     0.001,     0.002,     0.020
     1.000,     5.197,     5.111,    10.000,    -0.000,    -0.002,     0.020
     2.000,     7.024,     7.625,    10.000,    -0.000,    -0.000,     0.020
     0.000,     4.342,     2.794,    10.000,     0.001,     0.003,     0.030
     1.000,     5.197,     5.111,    10.000,    -0.001,    -0.002,     0.030
     2.000,     7.024,     7.625,    10.000,    -0.000,    -0.001,     0.030
     0.000,     4.342,     2.794,    10.000,     0.001,     0.004,     0.040
     1.000,     5.197,     5.111,    10.000,    -0.001,    -0.003,     0.040
     2.000,     7.024,     7.625,    10.000,    -0.001,    -0.001,     0.040
     0.000,     4.342,     2.794,    10.000,     0.002,     0.005,     0.050
     1.000,     5.197,     5.111,    10.000,    -0.001,    -0.004,     0.050
     2.000,     7.024,     7.625,    10.000,    -0.001,    -0.001,     0.050
     0.000,     4.342,     2.794,    10.000,     0.002,     0.006,     0.060
     1.000,     5.197,     5.111,    10.000,    -0.001,    -0.005,     0.060
     2.000,     7.024,     7.625,    10.000,    -0.001,    -0.001,     0.060
     0.000,     4.342,     2.794,    10.000,     0.003,     0.007,     0.070
     1.000,     5.197,     5.111,    10.000,    -0.002,    -0.006,     0.070
     2.000,     7.024,     7.625,    10.000,    -0.001,    -0.001,     0.070
     0.000,     4.342,     2.795,    10.000,     0.003,     0.008,     0.080
     1.000,     5.197,     5.111,    10.000,    -0.002,    -0.007,     0.080
     2.000,     7.024,     7.625,    10.000,    -0.001,    -0.001,     0.080
     0.000,     4.342,     2.795,    10.000,     0.003,     0.009,     0.090
     1.000,     5.197,     5.110,    10.000,    -0.002,    -0.007,     0.090
     2.000,     7.024,     7.625,    10.000,    -0.001,    -0.002,     0.090
     0.000,     4.342,     2.795,    10.000,     0.004,     0.010,     0.100
     1.000,     5.197,     5.110,    10.000,    -0.002,    -0.008,     0.100
     2.000,     7.023,     7.625,    10.000,    -0.001,    -0.002,     0.100
     0.000,     4.342,     2.795,    10.000,     0.004,     0.011,     0.110
     1.000,     5.197,     5.110,    10.000,    -0.003,    -0.009,     0.110
     2.000,     7.023,     7.625,    10.000,    -0.001,    -0.002,     0.110
     0.000,     4.342,     2.795,    10.000,     0.004,     0.012,     0.120
     1.000,     5.197,     5.110,    10.000,    -0.003,    -0.010,     0.120
     2.000,     7.023,     7.625,    10.000,    -0.002,    -0.002,     0.120
     0.000,     4.342,     2.795,    10.000,     0.005,     0.013,     0.130
     1.000,     5.197,     5.110,    10.000,    -0.003,    -0.011,     0.130
     2.000,     7.023,     7.625,    10.000,    -0.002,    -0.002,     0.130
     0.000,     4.342,     2.795,    10.000,     0.005,     0.014,     0.140
     1.000,     5.197,     5.110,    10.000,    -0.003,    -0.012,     0.140
     2.000,     7.023,     7.625,    10.000,    -0.002,    -0.002,     0.140
     0.000,     4.342,     2.795,    10.000,     0.006,     0.015,     0.150
     1.000,     5.197,     5.110,    10.000,    -0.004,    -0.012,     0.150
     2.000,     7.023,     7.625,    10.000,    -0.002,    -0.003,     0.150
     0.000,     4.342,     2.796,    10.000,     0.006,     0.016,     0.160
     1.000,     5.197,     5.110,    10.000,    -0.004,    -0.013,     0.160
     2.000,     7.023,     7.625,    10.000,    -0.002,    -0.003,     0.160
     0.000,     4.342,     2.796,    10.000,     0.006,     0.017,     0.170
     1.000,     5.197,     5.110,    10.000,    -0.004,    -0.014,     0.170
     2.000,     7.023,     7.625,    10.000,    -0.002,    -0.003,     0.170
     0.000,     4.342,     2.796,    10.000,     0.007,     0.018,     0.180
     1.000,     5.197,     5.109,    10.000,    -0.004,    -0.015,     0.180
     2.000,     7.023,     7.625,    10.000,    -0.002,    -0.003,     0.180
     0.000,     4.343,     2.796,    10.000,     0.007,     0.019,     0.190
     1.000,     5.197,     5.109,    10.000,    -0.005,    -0.016,     0.190
     2.000,     7.023,     7.625,    10.000,    -0.002,    -0.003,     0.190
     0.000,     4.343,     2.796,    10.000,     0.007,     0.020,     0.200
     1.000,     5.197,     5.109,    10.000,    -0.005,    -0.017,     0.200
     2.000,     7.023,     7.624,    10.000,    -0.003,    -0.004,     0.200
     0.000,     4.343,     2.796,    10.000,     0.008,     0.021,     0.210
     1.000,     5.197,     5.109,    10.000,    -0.005,    -0.017,     0.210
     2.000,     7.023,     7.624,    10.000,    -0.003,    -0.004,     0.210
     0.000,     4.343,     2.797,    10.000,     0.008,     0.022,     0.220
     1.000,     5.196,     5.109,    10.000,    -0.005,    -0.018,     0.220
     2.000,     7.023,     7.624,    10.000,    -0.003,    -0.004,     0.220
     0.000,     4.343,     2.797,    10.000,     0.009,     0.023,     0.230
     1.000,     5.196,     5.109,    10.000,    -0.006,    -0.019,     0.230
     2.000,     7.023,     7.624,    10.000,    -0.003,    -0.004,     0.230
     0.000,     4.343,     2.797,    10.000,     0.009,     0.024,     0.240
     1.000,     5.196,     5.108,    10.000,    -0.006,    -0.020,     0.240
     2.000,     7.023,     7.624,    10.000,    -0.003,    -0.004,     0.240
     0.000,     4.343,     2.797,    10.000,     0.009,     0.025,     0.250
     1.000,     5.196,     5.108,    10.000,    -0.006,    -0.021,     0.250
     2.000,     7.023,     7.624,    10.000,    -0.003,    -0.004,     0.250
     0.000,     4.343,     2.798,    10.000,     0.010,     0.026,     0.260
     1.000,     5.196,     5.108,    10.000,    -0.006,    -0.022,     0.260
     2.000,     7.023,     7.624,    10.000,    -0.003,    -0.005,     0.260
     0.000,     4.343,     2.798,    10.000,     0.010,     0.027,     0.270
     1.000,     5.196,     5.108,    10.000,    -0.007,    -0.022,     0.270
     2.000,     7.023,     7.624,    10.000,    -0.003,    -0.005,     0.270
     0.000,     4.343,     2.798,    10.000,     0.010,     0.028,     0.280
     1.000,     5.196,     5.107,    10.000,    -0.007,    -0.023,     0.280
     2.000,     7.023,     7.624,    10.000,    -0.004,    -0.005,     0.280
     0.000,     4.343,     2.799,    10.000,     0.011,     0.029,     0.290
     1.000,     5.196,     5.107,    10.000,    -0.007,    -0.024,     0.290
     2.000,     7.023,     7.624,    10.000,    -0.004,    -0.005,     0.290
     0.000,     4.344,     2.799,    10.000,     0.011,     0.030,     0.300
     1.000,     5.196,     5.107,    10.000,    -0.007,    -0.025,     0.300
     2.000,     7.023,     7.624,    10.000,    -0.004,    -0.005,     0.300
     0.000,     4.344,     2.799,    10.000,     0.012,     0.031,     0.310
     1.000,     5.196,     5.107,    10.000,    -0.008,    -0.026,     0.310
     2.000,     7.023,     7.624,    10.000,    -0.004,    -0.005,     0.310
     0.000,     4.344,     2.799,    10.000,     0.012,     0.032,     0.320
     1.000,     5.196,     5.106,    10.000,    -0.008,    -0.027,     0.320
     2.000,     7.023,     7.624,    10.000,    -0.004,    -0.006,     0.320
     0.000,     4.344,     2.800,    10.000,     0.012,     0.033,     0.330
     1.000,     5.196,     5.106,    10.000,    -0.008,    -0.028,     0.330
     2.000,     7.023,     7.624,    10.000,    -0.004,    -0.006,     0.330
     0.000,     4.344,     2.800,    10.000,     0.013,     0.034,     0.340
     1.000,     5.196,     5.106,    10.000,    -0.008,    -0.028,     0.340
     2.000,     7.023,     7.624,    10.000,    -0.004,    -0.006,     0.340
     0.000,     4.344,     2.801,    10.000,     0.013,     0.035,     0.350
     1.000,     5.196,     5.106,    10.000,    -0.009,    -0.029,     0.350
     2.000,     7.023,     7.624,    10.000,    -0.004,    -0.006,     0.350
     0.000,     4.344,     2.801,    10.000,     0.013,     0.036,     0.360
     1.000,     5.195,     5.105,    10.000,    -0.009,    -0.030,     0.360
     2.000,     7.023,     7.624,    10.000,    -0.005,    -0.006,     0.360
     0.000,     4.344,     2.801,    10.000,     0.014,     0.037,     0.370
     1.000,     5.195,     5.105,    10.000,    -0.009,    -0.031,     0.370
     2.000,     7.023,     7.624,    10.000,    -0.005,    -0.007,     0.370
     0.000,     4.345,     2.802,    10.000,     0.014,     0.038,     0.380
     1.000,     5.195,     5.105,    10.000,    -0.009,    -0.032,     0.380
     2.000,     7.023,     7.624,    10.000,    -0.005,    -0.007,     0.380
     0.000,     4.345,     2.802,    10.000,     0.015,     0.040,     0.390
     1.000,     5.195,     5.104,    10.000,    -0.010,    -0.033,     0.390
     2.000,     7.023,     7.623,    10.000,    -0.005,    -0.007,     0.390
     0.000,     4.345,     2.802,    10.000,     0.015,     0.041,     0.400
     1.000,     5.195,     5.104,    10.000,    -0.010,    -0.034,     0.400
     2.000,     7.023,     7.623,    10.000,    -0.005,    -0.007,     0.400
     0.000,     4.345,     2.803,    10.000,     0.015,     0.042,     0.410
     1.000,     5.195,     5.104,    10.000,    -0.010,    -0.034,     0.410
     2.000,     7.022,     7.623,    10.000,    -0.005,    -0.007,     0.410
     0.000,     4.345,     2.803,    10.000,     0.016,     0.043,     0.420
     1.000,     5.195,     5.103,    10.000,    -0.010,    -0.035,     0.420
     2.000,     7.022,     7.623,    10.000,    -0.005,    -0.007,     0.420
     0.000,     4.345,     2.804,    10.000,     0.016,     0.044,     0.430
     1.000,     5.195,     5.103,    10.000,    -0.011,    -0.036,     0.430
